section,dataset_display,method,seed_r,seed_s,abs_reference_ari_difference,pairwise_partition_ari,top50_marker_jaccard,top100_marker_jaccard,marker_rank_spearman,aligned_domains_compared_n,aligned_domains_compared,marker_pipeline_source,partition_ari_tertile,section_display,marker_set_size
151507,151507,STAGATE,1,16,0.00680556,0.83176503,0.92307692,0.92307692,0.96758723,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,STAGATE,1,17,0.00879857,0.84860426,0.88679245,0.9047619,0.96615857,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,STAGATE,1,19,0.00121281,0.83009648,0.88679245,0.9047619,0.95673339,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,STAGATE,2,3,0.0096917,0.56616885,0.78571429,0.75438596,0.9174658,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,2,4,0.01326494,0.32214715,0.75438596,0.7699115,0.89954585,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,2,5,0.00309428,0.57333604,0.81818182,0.7699115,0.9106182,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,2,6,0.01439029,0.55741845,0.78571429,0.78571429,0.91576049,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,2,9,0.00461954,0.56427037,0.78571429,0.78571429,0.90792307,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,2,12,0.01415856,0.55182561,0.78571429,0.7699115,0.89237072,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,2,14,0.00650932,0.88651526,0.81818182,0.86915888,0.94908597,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,STAGATE,2,15,0.00078159,0.55908376,0.78571429,0.78571429,0.90224432,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,2,16,0.00616198,0.57597283,0.75438596,0.78571429,0.9129522,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,2,17,0.00416898,0.56599975,0.75438596,0.7699115,0.90687763,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,2,19,0.01175473,0.56504178,0.75438596,0.8018018,0.90361641,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,3,5,0.00659743,0.856506,0.92307692,0.88679245,0.96927442,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,STAGATE,3,6,0.00469858,0.85926699,0.88679245,0.9047619,0.97304677,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,STAGATE,3,9,0.00507217,0.83045722,0.92307692,0.88679245,0.96381877,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,STAGATE,3,12,0.00446685,0.80686963,0.88679245,0.86915888,0.96099354,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,STAGATE,3,14,0.00318238,0.57064785,0.81818182,0.69491525,0.91279765,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,3,15,0.01047329,0.83487545,0.88679245,0.88679245,0.95872946,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,STAGATE,3,16,0.00352972,0.83694633,0.92307692,0.92307692,0.9649363,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,STAGATE,3,17,0.00552273,0.8396043,0.88679245,0.86915888,0.96570336,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,STAGATE,3,19,0.00206303,0.8247412,0.92307692,0.86915888,0.95010903,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,STAGATE,4,5,0.01635922,0.52611654,0.85185185,0.78571429,0.93004728,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,4,9,0.01788448,0.53678833,0.85185185,0.86915888,0.93726021,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,4,14,0.01977426,0.32370797,0.66666667,0.70940171,0.88488926,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,4,15,0.01248335,0.5440996,0.88679245,0.86915888,0.943174,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,4,16,0.01942692,0.52025405,0.85185185,0.8018018,0.92893036,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
