section,dataset_display,method,partition_ari_tertile,n_pairs,median_pairwise_partition_ari,median_top100_marker_jaccard,median_top50_marker_jaccard,median_marker_rank_spearman,section_display
MERFISH_Bregma_m0.09,,GraphST,Middle,16,0.5253628531,0.9002695418,0.8780573026,0.9786511875,Bregma -0.09
MERFISH_Bregma_m0.09,,STAGATE,High,22,0.7191340395,0.9139194139,0.8524871355,0.9809255261,Bregma -0.09
MERFISH_Bregma_m0.09,,STAGATE,Low,23,0.5370760654,0.8867924528,0.8019480519,0.9579726725,Bregma -0.09
MERFISH_Bregma_m0.09,,STAGATE,Middle,22,0.6060301672,0.904934688,0.8181818182,0.9630595211,Bregma -0.09
MERFISH_Bregma_m0.09,,SpaGCN,High,12,0.538759103,0.9418390956,0.8693221523,0.9921086978,Bregma -0.09
MERFISH_Bregma_m0.09,,SpaGCN,Low,12,0.3594224439,0.8961179008,0.8031189084,0.9641584222,Bregma -0.09
MERFISH_Bregma_m0.09,,SpaGCN,Middle,12,0.4555560213,0.9231658309,0.8362533693,0.9854242532,Bregma -0.09
MERFISH_Bregma_m0.09,,BANKSY,High,42,1,1,1,1,Bregma -0.09
MERFISH_Bregma_m0.09,,BANKSY,Low,42,0.943341396,0.9801980198,0.9607843137,0.9996648513,Bregma -0.09
MERFISH_Bregma_m0.09,,BANKSY,Middle,42,0.9891745097,1,1,0.999856595,Bregma -0.09
MERFISH_Bregma_m0.09,Bregma -0.09,SEDR,High,7,0.69841072609999999,0.91427001279999998,0.79085385350000004,0.96436466759999995,Bregma -0.09
MERFISH_Bregma_m0.09,Bregma -0.09,SEDR,Low,8,0.50941879010000002,0.86483212180000002,0.75293030559999996,0.93628710000000004,Bregma -0.09
MERFISH_Bregma_m0.09,Bregma -0.09,SEDR,Middle,8,0.55156670890000004,0.86483212180000002,0.69670897799999998,0.93131143049999998,Bregma -0.09
MERFISH_Bregma_m0.14,,GraphST,High,32,0.5681318014,0.9139194139,0.8787109117,0.9832087268,Bregma -0.14
MERFISH_Bregma_m0.14,,GraphST,Low,32,0.4333557503,0.8869603916,0.773383553,0.960003706,Bregma -0.14
MERFISH_Bregma_m0.14,,GraphST,Middle,32,0.4823372992,0.8869603916,0.8181818182,0.963740292,Bregma -0.14
MERFISH_Bregma_m0.14,,STAGATE,High,14,0.797345653,0.9512659433,0.8867924528,0.9913473623,Bregma -0.14
MERFISH_Bregma_m0.14,,STAGATE,Low,14,0.5376295103,0.8868764222,0.7778822055,0.952491863,Bregma -0.14
MERFISH_Bregma_m0.14,,STAGATE,Middle,14,0.6613654513,0.9371714332,0.8524871355,0.9887862138,Bregma -0.14
MERFISH_Bregma_m0.14,,SpaGCN,High,18,0.5939791631,0.9465982808,0.904934688,0.9930424414,Bregma -0.14
MERFISH_Bregma_m0.14,,SpaGCN,Low,19,0.448932938,0.9324122479,0.8867924528,0.9904611518,Bregma -0.14
MERFISH_Bregma_m0.14,,SpaGCN,Middle,18,0.511111788,0.9324122479,0.8961995377,0.9899680964,Bregma -0.14
MERFISH_Bregma_m0.14,,BANKSY,High,33,0.9979721744,1,1,1,Bregma -0.14
MERFISH_Bregma_m0.14,,BANKSY,Low,33,0.6541704891,0.9900990099,0.9607843137,0.9995069447,Bregma -0.14
MERFISH_Bregma_m0.14,,BANKSY,Middle,33,0.9862476608,1,1,0.9999194354,Bregma -0.14
MERFISH_Bregma_m0.14,Bregma -0.14,SEDR,High,23,0.76453745829999997,0.96078431369999995,0.94193061840000003,0.99763945730000003,Bregma -0.14
MERFISH_Bregma_m0.14,Bregma -0.14,SEDR,Low,23,0.56794906710000004,0.93277310920000001,0.85439560439999995,0.97414520959999995,Bregma -0.14
MERFISH_Bregma_m0.14,Bregma -0.14,SEDR,Middle,23,0.62534311490000005,0.94193061840000003,0.88746438750000001,0.98485546710000005,Bregma -0.14
MERFISH_Bregma_m0.19,,GraphST,High,14,0.6641704421,0.9512659433,0.8867924528,0.9888925591,Bregma -0.19
MERFISH_Bregma_m0.19,,GraphST,Low,15,0.5225107571,0.9232547388,0.8524871355,0.9816506075,Bregma -0.19
MERFISH_Bregma_m0.19,,GraphST,Middle,15,0.5980933219,0.9419306184,0.8693221523,0.9886806742,Bregma -0.19
MERFISH_Bregma_m0.19,,STAGATE,High,15,0.7722701699,0.9512659433,0.9230769231,0.9897844091,Bregma -0.19
MERFISH_Bregma_m0.19,,STAGATE,Low,15,0.5760019502,0.8532818533,0.7261904762,0.9155731365,Bregma -0.19
MERFISH_Bregma_m0.19,,STAGATE,Middle,15,0.6437184351,0.9047619048,0.8019480519,0.9640230737,Bregma -0.19
MERFISH_Bregma_m0.19,,SpaGCN,High,7,0.5269542929,0.9417475728,0.8693221523,0.9897811866,Bregma -0.19
MERFISH_Bregma_m0.19,,SpaGCN,Low,8,0.3443726475,0.9139194139,0.8184824435,0.9772678934,Bregma -0.19
