section,section_display,method,threshold,n_iso_accuracy_pairs,median_pairwise_partition_ari,minimum_pairwise_partition_ari,n_partition_ari_below_0_50,fraction_partition_ari_below_0_50
MERFISH_Bregma_m0.14,Bregma -0.14,BANKSY,0.03,106,0.9841597595,0.5687166914,0,0
MERFISH_Bregma_m0.14,Bregma -0.14,SEDR,0.01,33,0.65994334056199999,0.51449924314100004,0,0
MERFISH_Bregma_m0.14,Bregma -0.14,SEDR,0.02,69,0.62534311493399997,0.51449924314100004,0,0
MERFISH_Bregma_m0.14,Bregma -0.14,SEDR,0.029999999999999999,101,0.62534311493399997,0.481716058349,1,0.00990099009901
MERFISH_Bregma_m0.19,Bregma -0.19,GraphST,0.01,23,0.6001877525,0.4805298468,1,0.04347826087
MERFISH_Bregma_m0.19,Bregma -0.19,GraphST,0.02,44,0.5961574561,0.4805298468,3,0.06818181818
MERFISH_Bregma_m0.19,Bregma -0.19,GraphST,0.03,66,0.5995050778,0.4805298468,3,0.04545454545
MERFISH_Bregma_m0.19,Bregma -0.19,STAGATE,0.01,21,0.6246756664,0.5176532762,0,0
MERFISH_Bregma_m0.19,Bregma -0.19,STAGATE,0.02,45,0.6437184351,0.5118170907,0,0
MERFISH_Bregma_m0.19,Bregma -0.19,STAGATE,0.03,62,0.6397074659,0.4870596597,1,0.01612903226
MERFISH_Bregma_m0.19,Bregma -0.19,SpaGCN,0.01,16,0.413122595,0.3047115968,12,0.75
MERFISH_Bregma_m0.19,Bregma -0.19,SpaGCN,0.02,22,0.413122595,0.3047115968,16,0.7272727273
MERFISH_Bregma_m0.19,Bregma -0.19,SpaGCN,0.03,37,0.3901981874,0.2689817176,28,0.7567567568
MERFISH_Bregma_m0.19,Bregma -0.19,BANKSY,0.01,123,0.9973384597,0.9926992558,0,0
MERFISH_Bregma_m0.19,Bregma -0.19,BANKSY,0.02,123,0.9973384597,0.9926992558,0,0
MERFISH_Bregma_m0.19,Bregma -0.19,BANKSY,0.03,123,0.9973384597,0.9926992558,0,0
MERFISH_Bregma_m0.19,Bregma -0.19,SEDR,0.01,81,0.73457010740700002,0.52631746142900004,0,0
MERFISH_Bregma_m0.19,Bregma -0.19,SEDR,0.02,134,0.75454181829099998,0.52329341462099999,0,0
MERFISH_Bregma_m0.19,Bregma -0.19,SEDR,0.029999999999999999,154,0.75454181829099998,0.47523518520000002,1,0.0064935064935099998
MERFISH_Bregma_m0.24,Bregma -0.24,GraphST,0.01,36,0.5257611972,0.4252968469,14,0.3888888889
MERFISH_Bregma_m0.24,Bregma -0.24,GraphST,0.02,58,0.5290876593,0.4200543857,23,0.3965517241
MERFISH_Bregma_m0.24,Bregma -0.24,GraphST,0.03,91,0.5286672568,0.4200543857,35,0.3846153846
MERFISH_Bregma_m0.24,Bregma -0.24,STAGATE,0.01,15,0.6358129413,0.4964544401,1,0.06666666667
MERFISH_Bregma_m0.24,Bregma -0.24,STAGATE,0.02,38,0.6496322138,0.4834762096,2,0.05263157895
MERFISH_Bregma_m0.24,Bregma -0.24,STAGATE,0.03,57,0.6358129413,0.4760281614,4,0.0701754386
MERFISH_Bregma_m0.24,Bregma -0.24,SpaGCN,0.01,17,0.5216979046,0.378746528,7,0.4117647059
MERFISH_Bregma_m0.24,Bregma -0.24,SpaGCN,0.02,43,0.5216979046,0.3518797501,19,0.4418604651
MERFISH_Bregma_m0.24,Bregma -0.24,SpaGCN,0.03,58,0.5191071134,0.3518797501,25,0.4310344828
MERFISH_Bregma_m0.24,Bregma -0.24,BANKSY,0.01,80,0.9232903728,0.5396638199,0,0
MERFISH_Bregma_m0.24,Bregma -0.24,BANKSY,0.02,111,0.7171376789,0.5352322503,0,0
MERFISH_Bregma_m0.24,Bregma -0.24,BANKSY,0.03,142,0.7088177791,0.5352322503,0,0
MERFISH_Bregma_m0.24,Bregma -0.24,SEDR,0.01,27,0.69682057479799997,0.43262891393699998,3,0.111111111111
MERFISH_Bregma_m0.24,Bregma -0.24,SEDR,0.02,57,0.68410350647700002,0.43262891393699998,8,0.14035087719299999
MERFISH_Bregma_m0.24,Bregma -0.24,SEDR,0.029999999999999999,83,0.65350973538699997,0.39757931224999998,12,0.144578313253
