section,method,seed,reference_ari,reference_nmi,n_spots,n_clusters,section_display,n_cells,n_genes
151510,STAGATE,15,0.2431391611,0.4297691312,4634.0,7,151510,,
151510,STAGATE,16,0.350923735,0.5135993625,4634.0,7,151510,,
151510,STAGATE,17,0.2836121597,0.477684708,4634.0,7,151510,,
151510,STAGATE,18,0.2900157927,0.45120772,4634.0,7,151510,,
151510,STAGATE,19,0.3791734792,0.5229602056,4634.0,7,151510,,
151510,STAGATE,20,0.3692198162,0.566536677,4634.0,7,151510,,
151510,SpaGCN,1,0.2716354559,0.4043407545,4634.0,7,151510,,
151510,SpaGCN,2,0.2901299763,0.4517290111,4634.0,7,151510,,
151510,SpaGCN,3,0.319675234,0.4696200787,4634.0,7,151510,,
151510,SpaGCN,4,0.3206199204,0.4801713325,4634.0,7,151510,,
151510,SpaGCN,5,0.3240248192,0.4711230584,4634.0,7,151510,,
151510,SpaGCN,6,0.1705624332,0.3329785442,4634.0,7,151510,,
151510,SpaGCN,7,0.3376609575,0.4738308449,4634.0,7,151510,,
151510,SpaGCN,8,0.3521853403,0.4952003607,4634.0,7,151510,,
151510,SpaGCN,9,0.2631950565,0.4079423795,4634.0,7,151510,,
151510,SpaGCN,10,0.210051097,0.3827937484,4634.0,7,151510,,
151510,SpaGCN,11,0.3659755379,0.4962088013,4634.0,7,151510,,
151510,SpaGCN,12,0.3053932259,0.4198672666,4634.0,7,151510,,
151510,SpaGCN,13,0.2567843705,0.3730726411,4634.0,7,151510,,
151510,SpaGCN,14,0.3147600201,0.4676380129,4634.0,7,151510,,
151510,SpaGCN,15,0.3067006363,0.4722294901,4634.0,7,151510,,
151510,SpaGCN,16,0.2955091387,0.4396063704,4634.0,7,151510,,
151510,SpaGCN,17,0.2988647038,0.4513353113,4634.0,7,151510,,
151510,SpaGCN,18,0.2796785519,0.4108028365,4634.0,7,151510,,
